track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mr Rock & Roll,Amy Macdonald,6aX2LyT7zpTLe3iZfDeHki,0.61,0.858,9,-4.867,1,0.0318,0.0284,0.0,0.102,0.421,110.881,audio_features,6aX2LyT7zpTLe3iZfDeHki,spotify:track:6aX2LyT7zpTLe3iZfDeHki,https://api.spotify.com/v1/tracks/6aX2LyT7zpTLe3iZfDeHki,https://api.spotify.com/v1/audio-analysis/6aX2LyT7zpTLe3iZfDeHki,214813,4
Everyday,Slade,5qgGXHf4yXNk2Z1LzMQDCh,0.521,0.464,7,-3.883,1,0.025,0.65,3.58e-06,0.368,0.263,85.486,audio_features,5qgGXHf4yXNk2Z1LzMQDCh,spotify:track:5qgGXHf4yXNk2Z1LzMQDCh,https://api.spotify.com/v1/tracks/5qgGXHf4yXNk2Z1LzMQDCh,https://api.spotify.com/v1/audio-analysis/5qgGXHf4yXNk2Z1LzMQDCh,190493,3
Homely Girl,UB40,0Huh0iNCcGNmz8P60xXydb,0.787,0.314,2,-17.423,1,0.0883,0.157,0.000308,0.0565,0.91,82.924,audio_features,0Huh0iNCcGNmz8P60xXydb,spotify:track:0Huh0iNCcGNmz8P60xXydb,https://api.spotify.com/v1/tracks/0Huh0iNCcGNmz8P60xXydb,https://api.spotify.com/v1/audio-analysis/0Huh0iNCcGNmz8P60xXydb,204661,4
I'll Be Your Baby Tonight (feat. UB40),Robert Palmer,4GzmpVbPwz7pUf0WZgEUlQ,0.526,0.766,8,-10.348,1,0.0598,0.0575,0.215,0.0492,0.973,112.794,audio_features,4GzmpVbPwz7pUf0WZgEUlQ,spotify:track:4GzmpVbPwz7pUf0WZgEUlQ,https://api.spotify.com/v1/tracks/4GzmpVbPwz7pUf0WZgEUlQ,https://api.spotify.com/v1/audio-analysis/4GzmpVbPwz7pUf0WZgEUlQ,205640,5
I'll Be Your Baby Tonight (feat. UB40),UB40,4GzmpVbPwz7pUf0WZgEUlQ,0.526,0.766,8,-10.348,1,0.0598,0.0575,0.215,0.0492,0.973,112.794,audio_features,4GzmpVbPwz7pUf0WZgEUlQ,spotify:track:4GzmpVbPwz7pUf0WZgEUlQ,https://api.spotify.com/v1/tracks/4GzmpVbPwz7pUf0WZgEUlQ,https://api.spotify.com/v1/audio-analysis/4GzmpVbPwz7pUf0WZgEUlQ,205640,5
Every Little Thing - Remastered 2009,The Beatles,2CxTkdvhDuQrOxl8xXkdJS,0.74,0.49,2,-9.095,1,0.038,0.488,0.0,0.103,0.678,123.227,audio_features,2CxTkdvhDuQrOxl8xXkdJS,spotify:track:2CxTkdvhDuQrOxl8xXkdJS,https://api.spotify.com/v1/tracks/2CxTkdvhDuQrOxl8xXkdJS,https://api.spotify.com/v1/audio-analysis/2CxTkdvhDuQrOxl8xXkdJS,123800,4
Mozambique,Bob Dylan,1gpQMd0R3blMSn8vhXU0Uu,0.726,0.864,7,-8.191,1,0.0293,0.0452,0.000159,0.109,0.821,127.68,audio_features,1gpQMd0R3blMSn8vhXU0Uu,spotify:track:1gpQMd0R3blMSn8vhXU0Uu,https://api.spotify.com/v1/tracks/1gpQMd0R3blMSn8vhXU0Uu,https://api.spotify.com/v1/audio-analysis/1gpQMd0R3blMSn8vhXU0Uu,180800,4
Play It Cool,Münchener Freiheit,3W4un4CvR1lMgMrvEDA2MR,0.597,0.493,5,-10.555,1,0.0251,0.432,0.0,0.148,0.653,85.096,audio_features,3W4un4CvR1lMgMrvEDA2MR,spotify:track:3W4un4CvR1lMgMrvEDA2MR,https://api.spotify.com/v1/tracks/3W4un4CvR1lMgMrvEDA2MR,https://api.spotify.com/v1/audio-analysis/3W4un4CvR1lMgMrvEDA2MR,216907,4
Gudbuy T'Jane,Slade,13TaidohzokqtEJzspsZSY,0.565,0.964,9,-5.227,1,0.0569,0.00179,0.000497,0.0511,0.944,134.589,audio_features,13TaidohzokqtEJzspsZSY,spotify:track:13TaidohzokqtEJzspsZSY,https://api.spotify.com/v1/tracks/13TaidohzokqtEJzspsZSY,https://api.spotify.com/v1/audio-analysis/13TaidohzokqtEJzspsZSY,212960,4
Can I Get There By Candlelight?,David McWilliams,4a8CRBERgfY7iQlOJ6rp8T,0.465,0.286,4,-17.273,1,0.0479,0.303,9.16e-05,0.101,0.377,122.076,audio_features,4a8CRBERgfY7iQlOJ6rp8T,spotify:track:4a8CRBERgfY7iQlOJ6rp8T,https://api.spotify.com/v1/tracks/4a8CRBERgfY7iQlOJ6rp8T,https://api.spotify.com/v1/audio-analysis/4a8CRBERgfY7iQlOJ6rp8T,190467,4
Reflections of My Life,Marmalade,7h4QcBfcNKTj5PsCVSN4Yf,0.381,0.44,7,-8.855,1,0.0272,0.651,0.00114,0.553,0.556,94.2,audio_features,7h4QcBfcNKTj5PsCVSN4Yf,spotify:track:7h4QcBfcNKTj5PsCVSN4Yf,https://api.spotify.com/v1/tracks/7h4QcBfcNKTj5PsCVSN4Yf,https://api.spotify.com/v1/audio-analysis/7h4QcBfcNKTj5PsCVSN4Yf,256653,4
I Don't Wanna Dance,The Harmony Group,3ZIHyyOifkIDqy9GygDTcZ,0.954,0.435,11,-13.356,1,0.0916,0.182,2.95e-05,0.0897,0.9,123.602,audio_features,3ZIHyyOifkIDqy9GygDTcZ,spotify:track:3ZIHyyOifkIDqy9GygDTcZ,https://api.spotify.com/v1/tracks/3ZIHyyOifkIDqy9GygDTcZ,https://api.spotify.com/v1/audio-analysis/3ZIHyyOifkIDqy9GygDTcZ,200947,4
Get Down and Get With It,Slade,3rEUXKfkeb6kPH6NCxkgCo,0.482,0.916,2,-4.772,1,0.2,0.0655,0.0792,0.162,0.524,149.152,audio_features,3rEUXKfkeb6kPH6NCxkgCo,spotify:track:3rEUXKfkeb6kPH6NCxkgCo,https://api.spotify.com/v1/tracks/3rEUXKfkeb6kPH6NCxkgCo,https://api.spotify.com/v1/audio-analysis/3rEUXKfkeb6kPH6NCxkgCo,230173,4
Do You Love Me?,Sharif Dean,7L37sPazJ1mQIjimNa5hus,0.55,0.429,5,-11.025,0,0.0261,0.41,4.8e-05,0.18,0.511,82.216,audio_features,7L37sPazJ1mQIjimNa5hus,spotify:track:7L37sPazJ1mQIjimNa5hus,https://api.spotify.com/v1/tracks/7L37sPazJ1mQIjimNa5hus,https://api.spotify.com/v1/audio-analysis/7L37sPazJ1mQIjimNa5hus,219640,4
